File Path,Invoice ID,Invoice Date,Net Total,Tax Total,Total Amount,Descriptions
invoice_temp_storage\Invoice_65051.pdf,65051,2024-12-10,£155.0,£31.0,£186.0,"205/55 R16 MATADOR MP47 91H TYRE
VE23 ZDU JS 60005 JOB 28.11.23
NSF
(PRICE AGREED WITH CM); VALVE; BALANCE; OUT OF HOURS CALL OUT"
invoice_temp_storage\Invoice_66481.pdf,66481,2025-02-26,£47.5,£9.5,£57.0,"ABANDONED DAY CALL OUT
YR72 KXZ JS 68542
*VEHICLE NOT ON SITE*"
invoice_temp_storage\Invoice_66487.pdf,66487,2025-02-27,£116.5,£23.3,£139.8,"215/65 R16 HIFLY SUPER 2000 TYRE
KN70 TZS JS 68582
OSF; VALVE; BALANCE; CALL OUT DAY RATE
DUNSTABLE TIME ON 15:20 / OFF 15:35"
invoice_temp_storage\Invoice_66488.pdf,66488,2025-03-05,£62.5,£12.5,£75.0,"215/65 R16 PUNCTURE REPAIR
KS17 VLN JS 68627
OSF; VALVE; BALANCE; CALL OUT DAY RATE
BEDFORD TIME ON 09:40 / OFF 10:00"
invoice_temp_storage\Invoice_66574.pdf,66574,2025-03-05,£98.5,£19.7,£118.2,"195/65 R16 DYNAMO MH01 TYRE
YH73 FON JS 68683
OSF; VALVE; BALANCE; CALL OUT DAY RATE
LUTON TIME ON 13:00 / OFF 13:10"
